time,Price,Freq,Number,Star,VolRatio,Amp,Spread,code,Name,Industry
15:59:50,3.98,27,2,,0.73,0.76%,0,HK.01958,北京汽車,汽車
15:59:50,0.7,14,1,,0.55,2.94%,0,HK.01317,楓葉教育,教育
15:59:50,0.255,10,1,,1.6,4.94%,0,HK.00451,協鑫新能源,非傳統/可再生能源
15:59:50,1.79,12,1,,0.29,0.00%,0,HK.00338,上海石油化工股份,特殊化工用品
15:59:20,20.35,10,5,,1.03,1.75%,-1,HK.00777,網龍,軟體開發
15:59:20,21.25,17,5,,1.31,2.66%,0,HK.01876,百威亞太,酒精飲料
15:58:50,0.67,10,1,,0.91,0.00%,-1,HK.08083,中國有贊,電子商貿及互聯網服務
15:58:50,6.9,10,1,,1.41,-0.58%,-7,HK.09959,聯易融科技-W,資訊科技業
15:57:20,16.74,12,1,,1.59,1.70%,0,HK.00179,德昌電機控股,汽車零件
15:54:20,0.9,18,6,,1.47,0.00%,-1,HK.00788,中國鐵塔,衛星及無線通訊
15:54:20,39.6,11,4,,0.95,0.51%,-2,HK.00914,海螺水泥,建築材料
15:49:50,21.45,13,2,,0.82,0.23%,-3,HK.00763,中興通訊,電訊設備
15:43:50,19.2,13,11,,1.49,2.24%,-3,HK.01972,太古地產,地產投資
15:37:50,150.6,22,9,,0.86,0.40%,0,HK.02313,申洲國際,服裝
15:37:20,18.4,62,9,,1.32,1.55%,-6,HK.01810,小米集團-W,電訊設備
