code,time,price,volume,ticker_direction
HK.01876,15:00:00,21.3,100,BUY
HK.00763,15:00:00,21.35,1800,BUY
HK.01876,15:00:03,21.25,900,SELL
HK.01876,15:00:03,21.3,100,BUY
HK.01958,15:00:06,3.93,3000,NEUTRAL
HK.00763,15:00:10,21.35,200,BUY
HK.00763,15:00:10,21.35,7000,BUY
HK.00763,15:00:11,21.35,200,SELL
HK.00763,15:00:11,21.4,2600,BUY
HK.01876,15:00:14,21.3,800,BUY
HK.09959,15:00:17,6.83,2000,BUY
HK.08083,15:00:17,0.67,28000,NEUTRAL
HK.08083,15:00:18,0.67,8000,BUY
HK.01876,15:00:24,21.3,700,BUY
HK.01958,15:00:24,3.92,500,SELL
HK.01958,15:00:25,3.92,3000,SELL
HK.01317,15:00:28,0.68,6000,SELL
HK.01958,15:00:28,3.93,500,BUY
HK.01876,15:00:35,21.3,500,BUY
HK.00451,15:00:36,0.255,18000,BUY
HK.08083,15:00:42,0.67,12000,BUY
HK.01958,15:00:45,3.93,23000,BUY
HK.01958,15:00:45,3.93,12000,NEUTRAL
HK.01958,15:00:45,3.93,500,NEUTRAL
HK.08083,15:00:46,0.67,20000,BUY
HK.08083,15:00:47,0.67,4000,BUY
HK.08083,15:00:50,0.66,4000,SELL
HK.09959,15:00:54,6.83,500,BUY
HK.01958,15:00:56,3.94,9000,BUY
HK.01876,15:01:00,21.3,600,NEUTRAL
HK.00179,15:01:01,16.52,16500,SELL
HK.00179,15:01:02,16.5,3500,SELL
HK.00763,15:01:04,21.375,200,NEUTRAL
HK.00179,15:01:04,16.5,5000,SELL
HK.00179,15:01:04,16.52,500,BUY
HK.08083,15:01:06,0.67,4000,NEUTRAL
HK.01958,15:01:07,3.94,500,BUY
HK.01958,15:01:07,3.94,2500,NEUTRAL
HK.01317,15:01:07,0.68,350000,SELL
HK.01958,15:01:09,3.93,500,NEUTRAL
HK.01876,15:01:11,21.3,700,BUY
HK.09959,15:01:14,6.83,1000,BUY
HK.09959,15:01:14,6.83,500,BUY
HK.00777,15:01:21,20.2,500,BUY
HK.00763,15:01:24,21.4,400,BUY
HK.09959,15:01:28,6.83,1000,BUY
HK.01958,15:01:30,3.93,500,NEUTRAL
HK.01876,15:01:31,21.25,1000,SELL
HK.01958,15:01:38,3.94,112500,BUY
HK.01958,15:01:39,3.93,18500,NEUTRAL
HK.01958,15:01:39,3.93,11000,SELL
HK.01958,15:01:39,3.93,14500,SELL
HK.01958,15:01:39,3.93,29500,SELL
HK.01958,15:01:41,3.94,500,BUY
HK.00179,15:01:43,16.52,500,BUY
HK.00179,15:01:43,16.52,1500,BUY
HK.01876,15:01:44,21.3,800,BUY
HK.08083,15:01:47,0.67,8000,BUY
HK.08083,15:01:48,0.67,4000,BUY
HK.09959,15:01:49,6.83,500,BUY
HK.01876,15:01:51,21.3,600,BUY
HK.00777,15:01:52,20.2,500,BUY
HK.08083,15:01:54,0.66,4000,SELL
HK.01958,15:01:55,3.93,500,NEUTRAL
HK.09959,15:01:56,6.83,1000,NEUTRAL
HK.09959,15:01:56,6.83,29000,BUY
HK.09959,15:01:56,6.83,500,NEUTRAL
HK.09959,15:01:56,6.83,1500,BUY
HK.00777,15:02:02,20.2,500,BUY
HK.00763,15:02:04,21.375,200,NEUTRAL
HK.09959,15:02:05,6.84,5000,BUY
HK.09959,15:02:05,6.84,7500,BUY
HK.09959,15:02:05,6.84,10000,BUY
HK.09959,15:02:05,6.84,5000,BUY
HK.01876,15:02:06,21.3,1000,BUY
HK.00179,15:02:09,16.52,4500,BUY
HK.00179,15:02:09,16.52,500,BUY
HK.00179,15:02:10,16.52,1500,BUY
HK.01958,15:02:15,3.93,1500,NEUTRAL
HK.01958,15:02:15,3.93,500,NEUTRAL
HK.09959,15:02:16,6.85,500,BUY
HK.01876,15:02:19,21.25,200,SELL
HK.09959,15:02:25,6.85,500,BUY
HK.01317,15:02:28,0.68,26000,NEUTRAL
HK.09959,15:02:28,6.855,500,NEUTRAL
HK.09959,15:02:28,6.855,500,NEUTRAL
HK.09959,15:02:28,6.85,1000,BUY
HK.00451,15:02:29,0.255,100000,BUY
HK.01958,15:02:34,3.92,83500,SELL
HK.09959,15:02:36,6.86,2500,BUY
HK.00338,15:02:37,1.78,48000,SELL
HK.01958,15:02:37,3.93,2000,BUY
HK.08083,15:02:37,0.66,4000,SELL
HK.01876,15:02:40,21.3,600,BUY
HK.00451,15:02:40,0.255,16000,BUY
HK.00451,15:02:47,0.25,4000,SELL
HK.00451,15:02:47,0.25,6000,SELL
HK.00763,15:02:47,21.4,4400,BUY
HK.01876,15:02:50,21.25,1000,SELL
HK.09959,15:02:52,6.86,500,BUY
HK.08083,15:02:52,0.67,200000,BUY
HK.08083,15:02:53,0.67,36000,BUY
HK.01958,15:02:54,3.92,10000,BUY
HK.01958,15:02:54,3.92,2000,BUY
HK.00451,15:02:56,0.255,150000,BUY
HK.00777,15:02:57,20.2,500,BUY
HK.00451,15:03:00,0.25,32000,NEUTRAL
HK.00451,15:03:00,0.25,4000,NEUTRAL
HK.00451,15:03:00,0.25,38000,NEUTRAL
HK.09959,15:03:07,6.87,5500,BUY
HK.01876,15:03:09,21.3,800,BUY
HK.09959,15:03:12,6.88,4000,NEUTRAL
HK.09959,15:03:12,6.88,5500,BUY
HK.09959,15:03:12,6.88,5500,BUY
HK.01876,15:03:14,21.3,800,BUY
HK.08083,15:03:18,0.67,12000,BUY
HK.00777,15:03:21,20.2,500,BUY
HK.00451,15:03:21,0.255,88000,BUY
HK.01876,15:03:24,21.3,600,BUY
HK.01876,15:03:25,21.3,200,BUY
HK.09959,15:03:33,6.9,8500,BUY
HK.01876,15:03:36,21.3,500,BUY
HK.01876,15:03:38,21.3,900,BUY
HK.08083,15:03:40,0.67,24000,BUY
HK.08083,15:03:41,0.67,4000,BUY
HK.00451,15:03:46,0.255,10000,BUY
HK.09959,15:03:47,6.91,500,BUY
HK.00451,15:03:47,0.25,10000,SELL
HK.00777,15:03:50,20.2,500,BUY
HK.00451,15:03:54,0.255,150000,BUY
HK.00763,15:04:04,21.375,200,NEUTRAL
HK.00179,15:04:05,16.52,1000,BUY
HK.09959,15:04:08,6.89,2000,BUY
HK.00763,15:04:09,21.35,8400,NEUTRAL
HK.00763,15:04:09,21.35,11600,SELL
HK.00763,15:04:09,21.35,1200,SELL
HK.00763,15:04:09,21.35,200,BUY
HK.01876,15:04:10,21.25,1000,SELL
HK.01876,15:04:12,21.25,900,SELL
HK.01876,15:04:13,21.3,600,BUY
HK.00451,15:04:15,0.25,68000,SELL
HK.09959,15:04:17,6.9,3500,BUY
HK.09959,15:04:20,6.89,500,BUY
HK.00451,15:04:22,0.255,52000,BUY
HK.00777,15:04:24,20.175,1000,NEUTRAL
HK.00777,15:04:25,20.175,1000,NEUTRAL
HK.09959,15:04:27,6.89,10000,NEUTRAL
HK.01876,15:04:33,21.3,700,BUY
HK.09959,15:04:34,6.88,500,SELL
HK.09959,15:04:34,6.89,3500,BUY
HK.09959,15:04:44,6.89,4500,BUY
HK.09959,15:04:44,6.89,1500,BUY
HK.09959,15:04:44,6.89,4500,BUY
HK.09959,15:04:52,6.88,500,SELL
HK.09959,15:04:52,6.89,3500,BUY
HK.00451,15:04:54,0.255,104000,BUY
HK.00777,15:04:54,20.2,500,BUY
HK.01876,15:05:00,21.3,100,BUY
HK.01876,15:05:00,21.3,600,BUY
HK.09959,15:05:01,6.88,500,SELL
HK.09959,15:05:04,6.88,500,SELL
